type,bug,error,file,solver,status1,status2,mutation_type
consistency,efficiency,-15463.0,ej.mps.gz,both,optimal,time_limit_feasible,
metamorphic,no,0.0,ej.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,efficiency,7.0,ej.mps.gz,cplex,time_limit_feasible,time_limit_feasible,TranslateObjective
metamorphic,no,0.0,ej.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,ej.mps.gz,cplex,time_limit_feasible,time_limit_feasible,ScaleObjective
consistency,no,,stein9inf.mps.gz,both,infeasible,infeasible,
metamorphic,no,,stein9inf.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,stein9inf.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,stein9inf.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,stein9inf.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,,flugplinf.mps.gz,both,infeasible,infeasible,
metamorphic,no,,flugplinf.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,flugplinf.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,flugplinf.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,flugplinf.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,,enlight4.mps.gz,both,infeasible,infeasible,
metamorphic,no,,enlight4.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,enlight4.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,enlight4.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,enlight4.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,0.0,markshare_4_0.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,markshare_4_0.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,markshare_4_0.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,markshare_4_0.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,markshare_4_0.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,,stein15inf.mps.gz,both,infeasible,infeasible,
metamorphic,no,,stein15inf.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,stein15inf.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,stein15inf.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,stein15inf.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,0.0,flugpl.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,flugpl.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,flugpl.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,flugpl.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,flugpl.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,0.0,gr4x6.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,gr4x6.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,gr4x6.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,2.2737367544323206e-13,gr4x6.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,2.2737367544323206e-13,gr4x6.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,,p2m2p1m1p0n100.mps.gz,both,infeasible,infeasible,
metamorphic,no,,p2m2p1m1p0n100.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,p2m2p1m1p0n100.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,p2m2p1m1p0n100.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,p2m2p1m1p0n100.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,0.0,markshare_5_0.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,markshare_5_0.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,markshare_5_0.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,markshare_5_0.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,markshare_5_0.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,,g503inf.mps.gz,both,infeasible,infeasible,
metamorphic,no,,g503inf.mps.gz,gurobi,infeasible,infeasible,TranslateObjective
metamorphic,no,,g503inf.mps.gz,cplex,infeasible,infeasible,TranslateObjective
metamorphic,no,,g503inf.mps.gz,gurobi,infeasible,infeasible,ScaleObjective
metamorphic,no,,g503inf.mps.gz,cplex,infeasible,infeasible,ScaleObjective
consistency,no,0.0,b-ball.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,b-ball.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,b-ball.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,b-ball.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,b-ball.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,efficiency,7.0,markshare1.mps.gz,both,time_limit_feasible,time_limit_feasible,
metamorphic,efficiency,8.0,markshare1.mps.gz,gurobi,time_limit_feasible,time_limit_feasible,TranslateObjective
metamorphic,efficiency,2.0,markshare1.mps.gz,cplex,time_limit_feasible,time_limit_feasible,TranslateObjective
metamorphic,efficiency,14.0,markshare1.mps.gz,gurobi,time_limit_feasible,time_limit_feasible,ScaleObjective
metamorphic,efficiency,2.0,markshare1.mps.gz,cplex,time_limit_feasible,time_limit_feasible,ScaleObjective
consistency,no,0.0,markshare2.mps.gz,both,time_limit_feasible,time_limit_feasible,
